Sentadillas;Mantén la espalda recta y baja el cuerpo como si te fueras a sentar en una silla invisible.;;;Piernas
Zancadas inversas;Da un paso hacia atrás y baja la rodilla de la pierna de atrás hacia el suelo.;;;Piernas
Elevaciones de talones (calf raises);De pie, levanta los talones hacia arriba para trabajar los músculos de la pantorrilla.;;;Piernas
Puente de glúteos;Acuéstate boca arriba con las rodillas dobladas y los pies planos en el suelo. Levanta las caderas hacia arriba, manteniendo los hombros en el suelo.;;;Piernas
Sentadillas sumo;Coloca los pies más anchos que los hombros y apunta los pies hacia afuera. Baja el cuerpo como si te fueras a sentar en una silla grande.;;;Piernas
Peso muerto con una pierna;Mantén una pierna extendida hacia atrás mientras te inclinas hacia adelante desde la cadera con la espalda recta. Vuelve a la posición inicial.;;;Piernas
Elevación lateral de piernas;De pie, levanta una pierna hacia el lado manteniendo el cuerpo recto.;;;Piernas
Sentadilla con salto;Realiza una sentadilla y al subir, da un salto. Aterriza suavemente y repite.;;;Piernas
Step-ups;Utiliza un escalón o una plataforma resistente. Sube y baja alternando las piernas.;;;Piernas
Elevación de talones sentado;Siéntate en una silla con los pies apoyados en el suelo. Levanta los talones hacia arriba mientras mantienes los dedos de los pies en el suelo.;;;Piernas
Flexiones (push-ups);Puedes hacerlas en el suelo o apoyando las manos en una superficie elevada si son demasiado difíciles. ;;;Brazos
Flexiones de tríceps;Apoya las manos en el borde de una silla resistente y flexiona los codos para bajar y subir el cuerpo.;;;Brazos
Flexiones de diamante;Coloca las manos juntas formando un diamante debajo del pecho y realiza flexiones.;;;Brazos
Curl de bíceps con mancuernas (o botellas de agua);Mantén los codos cerca del cuerpo mientras levantas las mancuernas hacia los hombros.;;;Brazos
Tríceps con silla;Siéntate en una silla y coloca las manos en el borde del asiento. Levanta y baja el cuerpo para trabajar los tríceps. ;;;Brazos
Flexiones de brazos con apoyo en pared;De pie, coloca las manos en la pared a la altura de los hombros y realiza flexiones inclinando el cuerpo hacia la pared.;;;Brazos
Elevaciones laterales de brazos;Con mancuernas (o botellas de agua), levanta los brazos hacia los lados hasta que estén paralelos al suelo.;;;Brazos
Flexiones de pike;"Desde la posición de flexión, levanta las caderas hacia arriba formando una ""V"" invertida.";;;Brazos
Tríceps con banda elástica (o toallas);Sujeta una banda elástica por encima de la cabeza con las manos y flexiona los codos hacia atrás.;;;Brazos
Plancha con apoyo en antebrazos;Mantén la posición de plancha sobre los antebrazos durante 30-60 segundos para trabajar los músculos del core y los brazos.;;;Brazos
Crunches;Acuéstate boca arriba con las rodillas dobladas y las manos detrás de la cabeza, levanta el torso hacia las rodillas. ;;;Abdomen
Plancha frontal;Mantén la posición de plancha sobre los antebrazos durante 30-60 segundos. Mantén el cuerpo en línea recta desde la cabeza hasta los talones.;;;Abdomen
Elevaciones de piernas acostado;Acuéstate boca arriba con las piernas extendidas hacia arriba y baja las piernas hacia el suelo sin tocarlo.;;;Abdomen
Plancha latera;Mantén la posición de plancha sobre un antebrazo durante 30-45 segundos por lado para trabajar los oblicuos. ;;;Abdomen
Crunches laterales;Acuéstate de lado con las rodillas dobladas y las manos detrás de la cabeza, levanta el torso hacia el costado.;;;Abdomen
Bicicleta en el aire;Acuéstate boca arriba con las manos detrás de la cabeza, lleva una rodilla hacia el pecho mientras giras el torso para que el codo opuesto se acerque a la rodilla.;;;Abdomen
Plancha con elevación de pierna;Desde la posición de plancha frontal, levanta una pierna hacia arriba manteniendo el cuerpo en línea recta.;;;Abdomen
Escaladores de montaña;Desde la posición de plancha frontal, lleva las rodillas hacia el pecho alternando rápidamente las piernas.;;;Abdomen
Crunches inversos;Acuéstate boca arriba con las piernas flexionadas en un ángulo de 90 grados, levanta las caderas hacia arriba y lleva las rodillas hacia el pecho.;;;Abdomen
